2023-08-18 01:39:24.469 [info] Added views:workbench.panel.markers.view in workbench.panel.markers
2023-08-18 01:39:24.469 [info] Added views:workbench.panel.output in workbench.panel.output
2023-08-18 01:39:24.469 [info] Added views:terminal in terminal
2023-08-18 01:39:24.469 [info] Added views:outline in workbench.view.explorer
2023-08-18 01:39:24.469 [info] Added views:workbench.scm in workbench.view.scm
2023-08-18 01:39:24.469 [info] Added views:workbench.view.search in workbench.view.search
2023-08-18 01:39:24.469 [info] Added views:timeline in workbench.view.explorer
2023-08-18 01:39:24.469 [info] Added views:workbench.explorer.fileView in workbench.view.explorer
2023-08-18 01:39:25.354 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-08-18 01:39:26.241 [info] Added views:workbench.panel.repl.view in workbench.panel.repl
2023-08-18 01:39:37.243 [info] Added views:workbench.views.extensions.installed,workbench.views.extensions.popular,extensions.recommendedList in workbench.view.extensions
2023-08-18 01:39:37.249 [info] Removed views:workbench.views.extensions.popular from workbench.view.extensions
2023-08-18 01:39:37.743 [info] Added views:workbench.views.extensions.popular in workbench.view.extensions
2023-08-18 01:39:58.118 [info] Removed views:extensions.recommendedList,workbench.views.extensions.popular,workbench.views.extensions.installed from workbench.view.extensions
2023-08-18 01:39:58.148 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2023-08-18 01:40:06.329 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2023-08-18 01:40:06.385 [info] Added views:workbench.views.extensions.installed,workbench.views.extensions.popular,extensions.recommendedList in workbench.view.extensions
2023-08-18 01:40:10.631 [info] Removed views:extensions.recommendedList,workbench.views.extensions.popular,workbench.views.extensions.installed from workbench.view.extensions
2023-08-18 01:40:10.657 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2023-08-18 01:40:24.527 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2023-08-18 01:40:24.567 [info] Added views:workbench.views.extensions.installed,workbench.views.extensions.popular,extensions.recommendedList in workbench.view.extensions
2023-08-18 01:40:26.343 [info] Removed views:extensions.recommendedList,workbench.views.extensions.popular,workbench.views.extensions.installed from workbench.view.extensions
2023-08-18 01:40:26.366 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2023-08-18 01:41:11.987 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2023-08-18 01:41:12.018 [info] Added views:workbench.views.extensions.installed,workbench.views.extensions.popular,extensions.recommendedList in workbench.view.extensions
2023-08-18 01:41:21.249 [info] Removed views:extensions.recommendedList,workbench.views.extensions.popular,workbench.views.extensions.installed from workbench.view.extensions
2023-08-18 01:41:21.273 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2023-08-18 01:46:33.715 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2023-08-18 01:46:33.759 [info] Added views:workbench.views.extensions.installed,workbench.views.extensions.popular,extensions.recommendedList in workbench.view.extensions
2023-08-18 01:46:37.206 [info] Removed views:extensions.recommendedList,workbench.views.extensions.popular,workbench.views.extensions.installed from workbench.view.extensions
2023-08-18 01:46:37.225 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2023-08-18 01:46:38.164 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2023-08-18 01:46:38.227 [info] Added views:workbench.views.extensions.installed,workbench.views.extensions.popular,extensions.recommendedList in workbench.view.extensions
2023-08-18 01:46:39.589 [info] Removed views:extensions.recommendedList,workbench.views.extensions.popular,workbench.views.extensions.installed from workbench.view.extensions
2023-08-18 01:46:39.629 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
