2023-08-18 20:10:59.169 [info] Log level: Info
2023-08-18 20:10:59.169 [info] Validating found git in: "git"
2023-08-18 20:10:59.169 [info] Using git "2.41.0" from "git"
2023-08-18 20:10:59.169 [info] > git rev-parse --show-toplevel [10ms]
2023-08-18 20:10:59.169 [info] > git rev-parse --show-toplevel [3ms]
2023-08-18 20:10:59.270 [info] > git rev-parse --show-toplevel [36ms]
2023-08-18 20:10:59.333 [info] > git rev-parse --show-toplevel [26ms]
2023-08-18 20:10:59.629 [info] > git rev-parse --show-toplevel [13ms]
2023-08-18 20:10:59.992 [info] > git rev-parse --show-toplevel [48ms]
2023-08-18 20:11:00.352 [info] > git rev-parse --show-toplevel [2ms]
2023-08-18 20:11:03.997 [info] > git rev-parse --show-toplevel [1ms]
2023-08-18 20:11:04.912 [info] > git rev-parse --show-toplevel [3ms]
2023-08-18 20:11:05.057 [info] > git rev-parse --show-toplevel [3ms]
2023-08-18 20:11:07.585 [info] > git rev-parse --show-toplevel [2ms]
2023-08-18 20:11:23.728 [info] > git rev-parse --show-toplevel [2ms]
2023-08-18 20:11:24.220 [info] > git rev-parse --show-toplevel [2ms]
2023-08-18 20:20:04.121 [info] > git rev-parse --show-toplevel [4ms]
2023-08-18 20:20:07.173 [info] > git rev-parse --show-toplevel [3ms]
2023-08-18 20:21:37.327 [info] > git rev-parse --show-toplevel [3ms]
2023-08-18 20:21:38.238 [info] > git rev-parse --show-toplevel [2ms]
2023-08-18 20:22:09.947 [info] > git rev-parse --show-toplevel [4ms]
2023-08-18 20:24:47.263 [info] > git rev-parse --show-toplevel [6ms]
2023-08-18 20:27:04.208 [info] > git rev-parse --show-toplevel [2ms]
2023-08-18 20:28:41.872 [info] > git rev-parse --show-toplevel [6ms]
2023-08-18 20:29:04.164 [info] > git rev-parse --show-toplevel [2ms]
2023-08-18 20:29:52.459 [info] > git rev-parse --show-toplevel [10ms]
2023-08-18 20:30:11.189 [info] > git rev-parse --show-toplevel [4ms]
2023-08-18 20:30:56.274 [info] > git rev-parse --show-toplevel [4ms]
